INFO 2025-07-06 21:07:06,170 basehttp 16096 139914850064064 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-07-06 21:07:06,227 basehttp 16096 139914850064064 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-07-06 21:07:06,227 basehttp 16096 139914841671360 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-07-06 21:07:33,049 basehttp 16096 139914867898048 "OPTIONS /api/v1/customers/ HTTP/1.1" 200 0
WARNING 2025-07-06 21:07:33,051 log 16096 139914867898048 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 21:07:33,051 basehttp 16096 139914867898048 "GET /api/v1/customers/ HTTP/1.1" 401 193
INFO 2025-07-06 21:09:30,656 basehttp 16096 139914832230080 "POST /api/v1/auth/token/ HTTP/1.1" 200 483
INFO 2025-07-06 21:09:41,136 basehttp 16096 139914832230080 "GET /api/v1/customers/ HTTP/1.1" 200 261
INFO 2025-07-06 21:09:55,312 basehttp 16096 139914867898048 "OPTIONS /api/v1/customers/customers/ HTTP/1.1" 200 0
WARNING 2025-07-06 21:09:55,314 log 16096 139914867898048 Unauthorized: /api/v1/customers/customers/
WARNING 2025-07-06 21:09:55,314 basehttp 16096 139914867898048 "GET /api/v1/customers/customers/ HTTP/1.1" 401 193
ERROR 2025-07-06 21:10:03,817 log 16096 139914832230080 Internal Server Error: /api/v1/customers/customers/
Traceback (most recent call last):
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/db/backends/utils.py", line 89, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
psycopg2.errors.UndefinedTable: relation "customers_customer" does not exist
LINE 1: SELECT COUNT(*) AS "__count" FROM "customers_customer"
                                          ^


The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/core/handlers/exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/core/handlers/base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/views/decorators/csrf.py", line 56, in wrapper_view
    return view_func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/rest_framework/viewsets.py", line 125, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/rest_framework/views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/rest_framework/views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/rest_framework/views.py", line 480, in raise_uncaught_exception
    raise exc
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/rest_framework/views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/rest_framework/mixins.py", line 40, in list
    page = self.paginate_queryset(queryset)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/rest_framework/generics.py", line 171, in paginate_queryset
    return self.paginator.paginate_queryset(queryset, self.request, view=self)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/rest_framework/pagination.py", line 204, in paginate_queryset
    self.page = paginator.page(page_number)
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/core/paginator.py", line 72, in page
    number = self.validate_number(number)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/core/paginator.py", line 53, in validate_number
    if number > self.num_pages:
                ^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/utils/functional.py", line 57, in __get__
    res = instance.__dict__[self.name] = self.func(instance)
                                         ^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/core/paginator.py", line 99, in num_pages
    if self.count == 0 and not self.allow_empty_first_page:
       ^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/utils/functional.py", line 57, in __get__
    res = instance.__dict__[self.name] = self.func(instance)
                                         ^^^^^^^^^^^^^^^^^^^
  File "/home/sascha/Dev/CMS-Mitra/CMS/venv/lib/python3.12/site-packages/django/core/paginator.py", line 93, in count
    return c()
           ^^^
